|time | inM  |  instruction   |reset| outM  |writeM|address| pc  |
| 0+  |     0|0011000000111001|  0  |      0|   0  |     0 |    0|
| 1   |     0|0011000000111001|  0  |      0|   0  | 12345 |    1|
| 1+  |     0|1110110000010000|  0  |  12345|   0  | 12345 |    1|
| 2   |     0|1110110000010000|  0  |  12345|   0  | 12345 |    2|
| 2+  |     0|0101101110100000|  0  |     -1|   0  | 12345 |    2|
| 3   |     0|0101101110100000|  0  |     -1|   0  | 23456 |    3|
| 3+  |     0|1110000111110000|  0  |  11111|   0  | 23456 |    3|
| 4   |     0|1110000111110000|  0  |      0|   0  | 11111 |    4|
| 4+  |     0|0000001111101011|  0  | -11111|   0  | 11111 |    4|
| 5   |     0|0000001111101011|  0  | -11111|   0  |  1003 |    5|
| 5+  |     0|1110001100001000|  0  |  11111|   1  |  1003 |    5|
| 6   |     0|1110001100001000|  0  |  11111|   1  |  1003 |    6|
| 6+  |     0|0000001111101100|  0  | -11111|   0  |  1003 |    6|
| 7   |     0|0000001111101100|  0  | -11111|   0  |  1004 |    7|
| 7+  |     0|1110001110011000|  0  |  11110|   1  |  1004 |    7|
| 8   |     0|1110001110011000|  0  |  11109|   1  |  1004 |    8|
| 8+  |     0|0000001111101000|  0  | -11110|   0  |  1004 |    8|
| 9   |     0|0000001111101000|  0  | -11110|   0  |  1000 |    9|
| 9+  | 11111|1111010011110000|  0  |     -1|   0  |  1000 |    9|
| 10  | 11111|1111010011110000|  0  | -11112|   0  | 32767 |   10|
| 10+ | 11111|0000000000001110|  0  |     -1|   0  | 32767 |   10|
| 11  | 11111|0000000000001110|  0  |     14|   0  |    14 |   11|
| 11+ | 11111|1110001100000100|  0  |     -1|   0  |    14 |   11|
| 12  | 11111|1110001100000100|  0  |     -1|   0  |    14 |   14|
| 12+ | 11111|0000001111100111|  0  |      1|   0  |    14 |   14|
| 13  | 11111|0000001111100111|  0  |      1|   0  |   999 |   15|
| 13+ | 11111|1111110111100000|  0  |  11112|   0  |   999 |   15|
| 14  | 11111|1111110111100000|  0  |  11112|   0  | 11112 |   16|
| 14+ | 11111|1110001100101000|  0  |     -1|   1  | 11112 |   16|
| 15  | 11111|1110001100101000|  0  |     -1|   1  | 32767 |   17|
| 15+ | 11111|0000000000010101|  0  |     -1|   0  | 32767 |   17|
| 16  | 11111|0000000000010101|  0  |     21|   0  |    21 |   18|
| 16+ | 11111|1110011111000010|  0  |      0|   0  |    21 |   18|
| 17  | 11111|1110011111000010|  0  |      0|   0  |    21 |   19|
